id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
270,브리오슈 에그버거,346kcal,18.00g,34.00g,12.00g,346 ,346 ,346 ,
271,한상차림 도시락,705kcal,12.00g,117.00g,32.00g,705 ,705 ,705 ,
272,문어밥,334kcal,3.50g,55.00g,21.00g,334 ,334 ,334 ,
273,치즈돈까스김밥,402kcal,11.00g,61.00g,15.00g,402 ,402 ,402 ,
274,계란듬뿍 삼각김밥,181kcal,5.00g,28.00g,6.00g,181 ,181 ,181 ,
275,오리지날 닭가슴살,235kcal,4.10g,5.00g,45.00g,235 ,235 ,235 ,
276,고추장 삼겹살 삼각김밥,194kcal,6.00g,30.00g,6.00g,194 ,194 ,194 ,1
277,위대한 단팥빵,410kcal,6.00g,81.00g,11.00g,410 ,410 ,410 ,1
278,스팸구이&닭강정 도시락,781kcal,36.00g,94.00g,21.00g,781 ,781 ,781 ,1
279,진수성찬 11찬 도시락,809kcal,21.00g,120.00g,35.00g,809 ,809 ,809 ,1
280,카라멜맛팝콘,270kcal,10.00g,45.00g,4.00g,270 ,270 ,270 ,1
281,등심돈까스 김밥,477kcal,17.00g,68.00g,13.00g,477 ,477 ,477 ,1
282,참치김치 덮밥,504kcal,12.00g,85.00g,14.00g,504 ,504 ,504 ,1
283,블루레몬에이드,75kcal,0.00g,19.00g,0.00g,75 ,75 ,75 ,1
284,점보4단샌드 햄감자&게맛살,383kcal,11.00g,56.00g,15.00g,383 ,383 ,383 ,1
285,크림 가득 메론빵,379kcal,15.00g,55.00g,6.00g,379 ,379 ,379 ,1
286,신선야채김밥,356kcal,8.00g,60.00g,11.00g,356 ,356 ,356 ,1
287,보성녹돈등심돈까스김밥,477kcal,17.00g,68.00g,13.00g,477 ,477 ,477 ,1
288,간장불고기 김밥,454kcal,14.00g,63.00g,19.00g,454 ,454 ,454 ,1
289,초코블랑,206kcal,10.00g,27.00g,2.00g,206 ,206 ,206 ,1
290,3단참치샐러드샌드,332kcal,18.10g,32.80g,9.60g,332 ,332 ,332 ,1
291,카페25 아메리카노 블랙,20kcal,0.00g,3.00g,1.60g,20 ,20 ,20 ,1
292,오리지날 초코칩쿠키,249kcal,13.00g,31.00g,2.00g,249 ,249 ,249 ,1
